CHEM21 Solvents,HTP(ingestion),HTP(ingestion)log10,HTP(Inhalation),HTP(Inhalation)log10,XVP,Flash Point (℃),Boiling Point (℃),Resistivity,Resistivitylog10,Peroxide formation,AIT,CGP,CGPlog10,CLP,Aquatic Toxicity (mg/L),Aquatic Toxicity (mg/L)log10,Vapour Pressure (mmHg),OH radical RC (cm/molecule s),Sustainability
Water,1.03E-05,-4.986771734,0.625,-0.204119983,0.0944,177,100,181800,5.259593879,0,528,5.2,0.716003344,3.95,95400,4.979548375,23.75,,0
MeOH,0.000177683,-3.750354122,0.003815483,-2.418450477,0.283333333,11,65,6670000,6.824125834,0,470,0.006208214,-2.207033321,0.142405063,28100,4.44870632,100,9.00E-13,1
EtOH,0.000177683,-3.750354122,0.000530715,-3.275138637,0.518292683,13,78,7142900,6.85387457,0,365,0.005527798,-2.257447836,0.271575136,14200,4.152288344,50,3.27E-12,0
i-PrOH,0.000198216,-3.702861292,0.002034091,-2.691629622,0.85,12,82,166670,5.221857435,0,399,0.0223,-1.651695137,0.17578125,95400,4.979548375,40,5.07E-12,0
n-BuOH,0.001265823,-2.897627017,0.016493485,-1.78268757,1,29,118,1098900,6.040958173,0,343,0.021666667,-1.664207891,0.661764706,1940,3.28780173,7,8.50E-12,0
t-BuOH(^c),0.000364564,-3.438226219,0.003298697,-2.481657575,0.708333333,11,82,,,0,480,0.0468,-1.329754147,1.125,6410,3.80685803,42,1.12E-12,0
Benzyl Alcohol,0.000813008,-3.089905181,0.011300712,-1.946894193,1.307692308,101,206,,,0,436,2.6,0.414973348,1.125,460,2.662757832,0.1,2.30E-11,1
Ethylene Glycol,0.000212766,-3.672097771,,,0.53125,116,198,100000,5,0,399,0.311,-0.507239611,0.236096537,10000,4,0.06,7.70E-12,0
Acetone,0.000172414,-3.763427472,0.000938941,-3.027361697,0.653846154,-18,58,2000000,6.301029996,0,465,0.005189621,-2.284864358,0.1125,9000,3.954242509,180,1.80E-13,1
MEK,0.000365364,-3.437274247,0.001695318,-2.770748827,0.944444444,-6,80,2777800,6.443700974,0,505,0.015068096,-1.821941622,0.347222222,3220,3.507855872,77.5,1.20E-12,0
MIBK,0.000480769,-3.318063543,0.012205541,-1.913442966,1.214285714,13,117,200000,5.301029996,0,449,5.2,0.716003344,0.75,505,2.703291378,5,1.30E-11,0
Cyclohexanone,0.000617284,-3.20951498,0.012456403,-1.90460735,1.416666667,43,156,2.00E+15,15.30103,0,420,0.016194332,-1.790636961,2.25,527,2.721810615,5.2,1.26E-11,0
Methyl Acetate ,0.000154273,-3.811710075,0.001650247,-2.782451048,0.548387097,-10,57,2941.2,3.468524557,0,501.67,0.005363036,-2.270589288,0.45,399,2.600972896,170,3.41E-13,1
Ethyl Acetate ,0.000177936,-3.749736177,0.000693736,-3.158805768,0.85,-4,77,10000000,7,0,427,0.0026,-2.585026652,0.1125,2300,3.361727836,73,1.60E-12,0
i-PrOAc,0.000148148,-3.829304207,0.002394005,-2.620874947,1,2,89,17544,4.244128619,0,460,2.06E-05,-4.687116326,0.1125,,,60.4,3.40E-12,0
n-BuOAc,9.29E-05,-4.032134843,0.00420964,-2.375755043,1,22,126,625000,5.795880017,0,420,0.280626012,-0.551872075,0.127840909,18,1.255272505,11.5,4.90E-12,0
Diethyl ether,0.000823045,-3.084576419,0.000824674,-3.083717697,1,-45,34,3.33E+13,13.5228744,1,175,1.005802708,0.002512801,0.1125,2560,3.408239965,538,1.31E-11,2
Diisopropyl ether,0.000118064,-3.927882507,0.000957231,-3.018983245,1.214285714,-28,69,500000000,8.698970004,1,443,0.003209877,-2.493511609,0.1125,91.7,1.962369336,149,1.85E-11,2
MTBE,0.00025,-3.602059991,0.005547235,-2.255923436,1.0625,-28,55,,,0,460,0.006117647,-2.213415586,1.13,38.58,1.586362223,248,2.94E-12,2
THF,0.000606061,-3.217483662,0.0067815,-2.168674234,0.944444444,-14,66,222.22,2.346783143,1,215,0.006296924,-2.200871548,1.13,2160,3.334453751,162,1.70E-11,1
Me-THF,0.000869565,-3.06069784,,,1.42,-11,80,,,1,260,0.024597919,-1.609101633,0.5,,,97.3,,1
"1,4-Dioxane ",0.000238095,-3.623249725,0.013875399,-1.857754519,0.85,12,101,2.00E+12,12.30103,1,190.55,0.022608696,-1.645724486,0.296052632,9850,3.99343623,38.1,1.18E-11,1
Anisole,0.00027027,-3.568202158,,,5,52,154,,,0,475,0.104,-0.982966661,,,,3.54,1.73E-11,1
DME,0.00018622,-3.729973678,,,1.06,-6,85,,,0,350,0.00086,-3.065501549,0.45,,,48,1.60E-11,2
Pentane,0.0025,-2.602059991,0.000338877,-3.469957906,1.21,-40,36,50000000,7.698970004,0,260,0.001428571,-2.84509817,,,,514,3.94E-12,2
Hexane ,3.48E-05,-4.45803281,0.005674081,-2.246104469,1.7,-22,69,1.00E+14,14,0,225,0.003073468,-2.512371304,1.13,2500,3.397940009,153,5.61E-12,2
Heptane ,0.0002,-3.698970004,0.000610031,-3.214648095,1.55,-4,98,1.00E+14,14,0,223,0.005048544,-2.296833854,1.13,,,46,7.15E-12,1
Cyclohexane,7.87E-05,-4.103974502,0.002905203,-2.536823516,1.42,-17,81,1.43E+15,15.15491065,0,260,0.0273,-1.563837353,0.0125,117,2.068185862,97,6.70E-12,1
Me-cyclohexane,0.0003125,-3.505149978,0.000622518,-3.205848087,1.55,-4,101,,,0,285,0.00989,-2.004803708,0.025951557,,,46,,1
Benzene,0.001075269,-2.968482875,0.625,-0.204119983,1.214285714,-11,80,2.27E+14,14.35654211,0,498,0.009313989,-2.030864279,0.239361702,24.6,1.390935107,95,1.23E-12,2
Toluene ,0.001572327,-2.803457128,0.013267878,-1.877198531,1.338582677,4,111,1.25E+13,13.09691001,0,535,0.017247098,-1.763283969,0.159574468,28,1.447158031,28.4,5.96E-12,1
Xylenes,0.000428633,-3.367914396,0.002303139,-2.637679851,1.545454545,27,140,1.25E+13,13.09691001,0,,0.0192,-1.716698771,0.45,16,1.204119983,8.29,5.96E-12,1
DCM,0.0005,-3.301029996,,,0.283,,40,,,0,605,0.006842105,-2.164810265,1.125,193,2.285557309,435,1.00E-13,2
Chloroform,0.001438849,-2.841984781,0.020483408,-1.688597784,0,,61,1.00E+08,8,0,,0.01090101,-1.962533262,0.1125,171,2.23299611,197,1.03E-13,1
Carban Tertachloride,0.000425532,-3.371067775,0.031796502,-1.497620655,,,77,2.50E+15,15.39794001,0,,0.01033181,-1.985823589,0.1125,41.4,1.617000341,115,1.20E-16,2
DCE,0.001492537,-2.826074894,0.024709661,-1.607133213,0.274193548,13,84,250000000,8.397940009,0,,0.224816256,-0.648172289,0.803571429,136,2.133538908,227,2.56E-13,2
Chlorobenzene,0.000900901,-3.045322931,0.021724962,-1.663040975,1.307692308,29,132,142860000,8.154910646,0,,0.013970983,-1.854773036,1.022727273,35.4,1.549003262,12,7.70E-13,1
Acetonitrile,0.000406504,-3.390935177,0.029779631,-1.526080688,0.386363636,2,82,16667000,7.221857435,0,524,0.020537125,-1.687460354,1.125,1000,3,89,2.63E-14,0
DMF,0.000357143,-3.447157858,0.033456005,-1.47552592,0.772727273,58,153,166670,5.221857435,0,435,0.089408528,-1.048621055,0.476694915,10700,4.029383778,3.87,1.80E-11,2
DMAc,0.000232558,-3.633468716,0.028066236,-1.551815827,0.944444444,70,166,,,0,345,0.014739229,-1.831525234,1.004464286,0.0015,-2.823908741,2,1.36E-11,2
NMP,0.000255493,-3.592620994,,,1.31,96,202,500000,5.698970004,0,346,0.102,-0.991399828,0.28125,,,0.34,7.40E-11,2
DMPU,0.000564972,-3.247973075,,,1.06,121,246,,,0,255,,,,,,,,1
DMSO,6.90E-05,-4.161368111,,,0.653846154,95,189,5000000,6.698970004,0,301,0.0976,-1.010550182,0.1875,0.034,-1.468521083,0.6,9.00E-11,0
Sulfolane,0.000649351,-3.187520486,,,,177,287,,,0,,0.043333333,-1.363177906,0.70754717,,,0.0062,1.30E-11,2
HMPA,0.000377358,-3.423246439,,,,144,200,,,0,,,,0.865384615,,,0.03,1.90E-10,2
Nitromethane,0.00106383,-2.973127767,0.020028039,-1.698361572,0.232876712,35,101,,,0,418,0.0363,-1.440093375,1.125,278,2.444044796,35.8,1.30E-13,2
Methoxy-ethanol,0.001123596,-2.949389816,,,0.68,42,125,10000,4,0,285,0.194975628,-0.710019672,1.7578125,,,,,2
Carbon disulfide,0.000833333,-3.07918142,0.321543408,-0.49276039,1.7,-30,46,1.00E+14,14,0,100,0.0000104,-4.982966661,,,,359,2.90E-12,2
Formic acid,0.000909091,-3.041392642,0.106269926,-0.973589622,0.094444444,49,101,,,0,528,0.002166667,-2.664207831,,,,42.6,4.50E-13,1
Acetic acid,0.000302115,-3.519827711,0.040716612,-1.390228366,0.425,39,118,1666700,6.221857435,0,427,0.013245033,-1.877946955,2.122641509,88,1.944482672,15.7,7.40E-13,1
Ac2O,0.000561798,-3.250419811,0.240384615,-0.619093331,0.586206897,49,139,,,0,316,0.124550898,-0.904653137,0.5625,,,5.1,8.40E-14,1
Pyridine,0.001122334,-2.94987788,0.308641975,-0.510545011,0.944444444,23,115,250000,5.397940009,0,482,0.00045614,-3.340901842,2.007136485,88,1.944482672,20.8,3.70E-13,0
TEA,0.002173913,-2.66275784,0.483091787,-0.315970346,1.416666667,-6,89,,,0,215,0.143,-0.844663963,3.947368421,44,1.643452676,57,9.30E-11,1