CHEM21 Solvents,BP,FM,VP,RC,DM,Environmental_Score
Water,100,4.979548375,23.75,1.90E-10,,1
MeOH,65,4.44870632,100,9.00E-13,1.00E+04,5
EtOH,78,4.152288344,50,3.27E-12,7.64E+03,3
i-PrOH,82,4.979548375,40,5.07E-12,1.03E+02,3
n-BuOH,118,3.28780173,7,8.50E-12,1.98E+00,3
t-BuOH(^c),82,3.80685803,42,1.12E-12,2.53E+03,3
Benzyl Alcohol,206,2.662757832,0.1,2.30E-11,2.30E+02,7
Ethylene Glycol,198,4,0.06,7.70E-12,7.12E+00,5
Acetone,58,3.954242509,180,1.80E-13,,5
MEK,80,3.507855872,77.5,1.20E-12,3.08E+02,3
MIBK,117,2.703291378,5,1.30E-11,1.84E+03,3
Cyclohexanone,156,2.721810615,5.2,1.26E-11,,5
Methyl Acetate ,57,2.600972896,170,3.41E-13,1.03E+03,5
Ethyl Acetate ,77,3.361727836,73,1.60E-12,1.15E+03,3
i-PrOAc,89,,60.4,3.40E-12,,3
n-BuOAc,126,1.255272505,11.5,4.90E-12,4.40E+01,3
Diethyl ether,34,3.408239965,538,1.31E-11,8.25E+01,7
Diisopropyl ether,69,1.962369336,149,1.85E-11,1.90E+02,5
MTBE,55,1.586362223,248,2.94E-12,,5
THF,66,3.334453751,162,1.70E-11,3.49E+03,5
Me-THF,80,,97.3,,1.39E+02,3
"1,4-Dioxane ",101,3.99343623,38.1,1.18E-11,2.35E+03,3
Anisole,154,,3.54,1.73E-11,2.70E+01,5
DME,85,,48,1.60E-11,4.00E+03,3
Pentane,36,,514,3.94E-12,2.43E-03,7
Hexane ,69,3.397940009,153,5.61E-12,8.11E-04,7
Heptane ,98,,46,7.15E-12,1.65E+02,7
Cyclohexane,81,2.068185862,97,6.70E-12,8.11E-04,7
Me-cyclohexane,101,,46,,3.26E-01,7
Benzene,80,1.390935107,95,1.23E-12,7.21E-03,3
Toluene ,111,1.447158031,28.4,5.96E-12,6.00E+00,3
Xylenes,140,1.204119983,8.29,5.96E-12,1.62E-03,5
DCM,40,2.285557309,435,1.00E-13,,7
Chloroform,61,2.23299611,197,1.03E-13,3.95E+01,5
Carban Tertachloride,77,1.617000341,115,1.20E-16,3.50E+01,10
DCE,84,2.133538908,227,2.56E-13,1.60E+02,3
Chlorobenzene,132,1.549003262,12,7.70E-13,2.15E+00,7
Acetonitrile,82,3,89,2.63E-14,,3
DMF,153,4.029383778,3.87,1.80E-11,1.45E+04,5
DMAc,166,-2.823908741,2,1.36E-11,5.00E+02,5
NMP,202,,0.34,7.40E-11,4.90E+03,7
DMPU,246,,,,,7
DMSO,189,-1.468521083,0.6,9.00E-11,3.50E+03,5
Sulfolane,287,,0.0062,1.30E-11,8.52E+02,7
HMPA,200,,0.03,1.90E-10,6.67E+03,7
Nitromethane,101,2.444044796,35.8,1.30E-13,1.03E+02,3
Methoxy-ethanol,125,,,,2.70E+04,3
Carbon disulfide,46,,359,2.90E-12,2.10E+00,7
Formic acid,101,,42.6,4.50E-13,1.51E+02,3
Acetic acid,118,1.944482672,15.7,7.40E-13,3.00E+03,3
Ac2O,139,,5.1,8.40E-14,1.00E+03,3
Pyridine,115,1.944482672,20.8,3.70E-13,3.20E+02,3
TEA,89,1.643452676,57,9.30E-11,,3