Solvents,Boiling Point,Aquatic Toxicity (mg/L)log10,OH radical RC (cm/molecule s),EC50 Daphnia Magna (48 hour) (mg/L),Vapour Pressure (mmHg),Environmental_Score
Glycerol,290,,1.87E-11,,1.68E-04,
isoamyl alcohol,133,,7.80E-12,260,2.37,
i-Butanol,108,6.155336037,9.20E-12,1463,10.4,
"1,1,1,3,3,3-Hexafluoropropane-2-ol",59,2.387389826,,97.3,158,
1-Hexanol,157,1.989004616,7.99E-02,7,38.78,
Triethylene glycol,286.5,4.840889878,3.64E-11,10000,0.00132,
"1,3-Propane diol",211,3.987666265,9.73E-12,7417,0.04,
Methyl chloroformate,71,,,,,
Diethyl carbonate,126,,3.30E-12,,10.8,
Dibutyl phosphate,136,,5.30E-11,100,1,
Propylene carbonate,242,,3.80E-12,1000,0.045,
Dimethyl acetamide,165.25,3.176091259,1.36E-11,500,2,
Isoamyl acetate,142,,6.00E-12,42,5.60E+00,
Isobutyl acetate,117,,5.52E-12,25,2.07E+01,
Hexyl acetate,172,0.643452676,7.40E-12,,1.32E+00,
Trichlorobenzene,219,,2.80E-13,1.4,0.21,
1-Chlorobutane,78,,2.29E-12,452,73.7,
"1,1,2-trichloroethane",113.5,1.911690159,3.18E-13,43,23,
Lindane,323,-1.060480747,1.90E-13,6.5,9.40E-06,
Methoxychlor,56,-1.283996656,5.40E-11,0.00078,4.20E-05,
Methylchloroform,74,,9.50E-15,,124,
Bromomethane,3.4,,2.90E-14,,1620,
Aldrin,145,-2,6.50E-11,0.03,1.20E-04,
Toxaphene,56,-2.744727495,2.65E-12,0.4,6.69E-06,
Dieldrin,56,-2.420216403,9.20E-12,,5.89E-06,
4-Nitroaniline,332,,1.35E-11,24,3.20E-06,
N-Methylaniline,200,,2.02E-06,19,0.286,
Tributylamine,207,,1.10E-10,19,9.34E-02,
Propylamine,48.5,2.488550717,3.30E-11,100,310,
"
Cyclohexanamine",135,,5.50E-11,,10.1,
Butylamine,77,2.428134794,3.40E-11,100,92.9,
Monoethanolamine,171,3.315970345,7.20E-11,65,0.404,
Diethylamine,56,2.931966115,8.10E-11,,237,
Diethylene Glycol Monoethyl Ether,196,4.423245874,5.72E-11,,0.126,
Ethoxyethanol,135,-1,1.54E-11,1892.5,5.31,
Butoxyethanol,168,3.329804522,1.86E-11,1000,0.88,
4-Nitrophenol,279,1.810232518,4.30E-12,9.4,5.00E-04,
4-Chlorophenol,220,0.78604121,9.90E-12,3.4,8.90E-02,
Thiophenol,168,,1.12E-11,,1.93,
Phenol,182,1.556302501,2.63E-11,3.1,0.35,
Nitrobenzene,101,2.444044796,1.30E-13,35,35.8,
Ethylbenzene,136,1.08278537,7.00E-12,2.4,9.6,